id,slug,lang,categoria_old,categoria_new,action,note
4069ac14-f5b7-4913-b70e-7e20c4874315,esempi-di-comunita-alloggio-5-comunita,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
67795839-857e-4b41-852a-50a5e86bc563,la-comunita-luogo-del-perdono-e-della-festa,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
be69a10d-b62b-4626-970d-a9e7e2cab1a9,la-depressione,it,Cultura,cultura,dry,
e4302b52-fa0f-4383-97c1-2b0690dc3ced,la-speranza-nella-vita-quotidiana-con-nostro-figlio-affetto-,it,Spiritualità,spiritualita,dry,
649adb8f-dac1-4938-92d0-6879f2776c91,per-capire-di-piu,it,Fede e Luce,fede-e-luce,dry,
ab1f1667-15a3-4f75-ab1b-b9ed99cd8e26,il-vizio-di-vivere-ventanni-nel-polmone-dacciaio,it,Cultura,cultura,dry,
c2c306dd-5595-4984-9972-28bed6e5e34f,lettera-a-un-medico-per-la-nascita-di-un-bambino-disabile,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
28dc5054-faae-45ef-a370-e2c3b26b7fab,ora-manuela,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
554f207f-f650-4238-9425-9866ac516095,speciale-pellegrinaggio-a-lourdes-1991,it,Fede e Luce,fede-e-luce,dry,
7902c0b6-337d-4ee1-a645-0f8c109fba77,dialogo-aperto-n-37,it,Fede e Luce,fede-e-luce,dry,
28dc5054-faae-45ef-a370-e2c3b26b7fab,ora-manuela,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
f8d315dc-cd82-4fd0-a8d2-d5c89b12804d,come-annunciare-un-bambino-down,it,Spiritualità,spiritualita,dry,
9a112234-783d-4b9f-855e-1700518d24d2,giobbe-perche-dialogo-di-una-madre,it,Cultura,cultura,dry,
3f21f890-3427-41a9-970a-70b35276044f,quando-la-crisi-insegna-a-vivere-esperienza-positiva-del-dol,it,Cultura,cultura,dry,
ae938319-f65e-4585-892b-f02955c232e7,oltre-la-famiglia-gli-specialisti-gli-amici,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
156eb469-6d65-4679-8e0e-a08dfb0c14ac,ascolto-che-guarisce,it,Cultura,cultura,dry,
b6013643-d2a5-42f9-b2d6-8297bafb1838,come-essere-amici,it,Fede e Luce,fede-e-luce,dry,
