wp_id,articolo_uuid,id_numero,numero_uuid,action,status,note
6344,,OEL-20,,set,skip_no_num,OEL-20 non trovato in Directus
6346,,OEL-20,,set,skip_no_num,OEL-20 non trovato in Directus
6350,,OEL-20,,set,skip_no_num,OEL-20 non trovato in Directus
6352,,OEL-20,,set,skip_no_num,OEL-20 non trovato in Directus
6361,,OEL-20,,set,skip_no_num,OEL-20 non trovato in Directus
6357,,OEL-20,,set,skip_no_num,OEL-20 non trovato in Directus
6337,,OEL-20,,set,skip_no_num,OEL-20 non trovato in Directus
224,,OEL-4,,set,skip_no_num,OEL-4 non trovato in Directus
228,,OEL-3,,set,skip_no_num,OEL-3 non trovato in Directus
300,,OEL-3,,set,skip_no_num,OEL-3 non trovato in Directus
330,,OEL-3,,set,skip_no_num,OEL-3 non trovato in Directus
342,,OEL-3,,set,skip_no_num,OEL-3 non trovato in Directus
313,,OEL-3,,set,skip_no_num,OEL-3 non trovato in Directus
325,,OEL-3,,set,skip_no_num,OEL-3 non trovato in Directus
328,,OEL-3,,set,skip_no_num,OEL-3 non trovato in Directus
340,,OEL-3,,set,skip_no_num,OEL-3 non trovato in Directus
353,,OEL-3,,set,skip_no_num,OEL-3 non trovato in Directus
371,,OEL-3,,set,skip_no_num,OEL-3 non trovato in Directus
1217,,OEL-2,,set,skip_no_num,OEL-2 non trovato in Directus
6982,,OEL-26,,set,skip_no_num,OEL-26 non trovato in Directus
7021,,OEL-26,,set,skip_no_num,OEL-26 non trovato in Directus
7027,,OEL-26,,set,skip_no_num,OEL-26 non trovato in Directus
7029,,OEL-26,,set,skip_no_num,OEL-26 non trovato in Directus
7036,,OEL-26,,set,skip_no_num,OEL-26 non trovato in Directus
7050,,OEL-26,,set,skip_no_num,OEL-26 non trovato in Directus
7052,,OEL-26,,set,skip_no_num,OEL-26 non trovato in Directus
7054,,OEL-26,,set,skip_no_num,OEL-26 non trovato in Directus
7059,,OEL-26,,set,skip_no_num,OEL-26 non trovato in Directus
7062,,OEL-26,,set,skip_no_num,OEL-26 non trovato in Directus
7103,,OEL-27,,set,skip_no_num,OEL-27 non trovato in Directus
6988,,OEL-26,,set,skip_no_num,OEL-26 non trovato in Directus
6990,,OEL-26,,set,skip_no_num,OEL-26 non trovato in Directus
25267,,OEL-145,,set,skip_no_num,OEL-145 non trovato in Directus
7109,,OEL-27,,set,skip_no_num,OEL-27 non trovato in Directus
6976,,OEL-26,,set,skip_no_num,OEL-26 non trovato in Directus
607,,OEL-2,,set,skip_no_num,OEL-2 non trovato in Directus
609,,OEL-2,,set,skip_no_num,OEL-2 non trovato in Directus
612,,OEL-2,,set,skip_no_num,OEL-2 non trovato in Directus
617,,OEL-2,,set,skip_no_num,OEL-2 non trovato in Directus
764,,OEL-132,,set,skip_no_num,OEL-132 non trovato in Directus
767,,OEL-132,,set,skip_no_num,OEL-132 non trovato in Directus
774,,OEL-132,,set,skip_no_num,OEL-132 non trovato in Directus
777,,OEL-132,,set,skip_no_num,OEL-132 non trovato in Directus
6984,,OEL-26,,set,skip_no_num,OEL-26 non trovato in Directus
1183,,OEL-132,,set,skip_no_num,OEL-132 non trovato in Directus
1186,,OEL-132,,set,skip_no_num,OEL-132 non trovato in Directus
1188,,OEL-2,,set,skip_no_num,OEL-2 non trovato in Directus
1195,,OEL-2,,set,skip_no_num,OEL-2 non trovato in Directus
1211,,OEL-2,,set,skip_no_num,OEL-2 non trovato in Directus
1223,,OEL-2,,set,skip_no_num,OEL-2 non trovato in Directus
1410,,OEL-132,,set,skip_no_num,OEL-132 non trovato in Directus
1412,,OEL-132,,set,skip_no_num,OEL-132 non trovato in Directus
1414,,OEL-132,,set,skip_no_num,OEL-132 non trovato in Directus
1419,,OEL-132,,set,skip_no_num,OEL-132 non trovato in Directus
1421,,OEL-132,,set,skip_no_num,OEL-132 non trovato in Directus
1423,,OEL-132,,set,skip_no_num,OEL-132 non trovato in Directus
1425,,OEL-132,,set,skip_no_num,OEL-132 non trovato in Directus
1435,,OEL-131,,set,skip_no_num,OEL-131 non trovato in Directus
1438,,OEL-131,,set,skip_no_num,OEL-131 non trovato in Directus
1440,,OEL-131,,set,skip_no_num,OEL-131 non trovato in Directus
1442,,OEL-131,,set,skip_no_num,OEL-131 non trovato in Directus
1444,,OEL-131,,set,skip_no_num,OEL-131 non trovato in Directus
1446,,OEL-131,,set,skip_no_num,OEL-131 non trovato in Directus
1449,,OEL-131,,set,skip_no_num,OEL-131 non trovato in Directus
1451,,OEL-131,,set,skip_no_num,OEL-131 non trovato in Directus
1453,,OEL-131,,set,skip_no_num,OEL-131 non trovato in Directus
1455,,OEL-131,,set,skip_no_num,OEL-131 non trovato in Directus
2402,,OEL-7,,set,skip_no_num,OEL-7 non trovato in Directus
1707,,OEL-2,,set,skip_no_num,OEL-2 non trovato in Directus
1955,,OEL-2,,set,skip_no_num,OEL-2 non trovato in Directus
1957,,OEL-2,,set,skip_no_num,OEL-2 non trovato in Directus
1960,,OEL-2,,set,skip_no_num,OEL-2 non trovato in Directus
2051,,OEL-3,,set,skip_no_num,OEL-3 non trovato in Directus
2053,,OEL-3,,set,skip_no_num,OEL-3 non trovato in Directus
2055,,OEL-3,,set,skip_no_num,OEL-3 non trovato in Directus
2057,,OEL-3,,set,skip_no_num,OEL-3 non trovato in Directus
2069,,OEL-3,,set,skip_no_num,OEL-3 non trovato in Directus
2192,,OEL-4,,set,skip_no_num,OEL-4 non trovato in Directus
2196,,OEL-4,,set,skip_no_num,OEL-4 non trovato in Directus
2199,,OEL-4,,set,skip_no_num,OEL-4 non trovato in Directus
2201,,OEL-4,,set,skip_no_num,OEL-4 non trovato in Directus
2203,,OEL-4,,set,skip_no_num,OEL-4 non trovato in Directus
2212,,OEL-4,,set,skip_no_num,OEL-4 non trovato in Directus
