id,slug,lang,categoria_old,categoria_new,action,note
685eeb60-25af-480b-9a4d-ba9d6110ec9e,ciao-gianluca,it,Fede e Luce,fede-e-luce,patch_ok,
56b96d9f-2f8a-4bef-8591-7b45a5f8be73,meditazione-a-modo-mio,it,Fede e Luce,fede-e-luce,patch_ok,
1b5620ad-c6af-468e-9d1c-6fd07aafc5e6,beati-i-poveri-suggerimenti-per-le-tra-giornate-ad-assisi-19,it,Spiritualità,spiritualita,patch_ok,
b1f1b179-cd27-4521-a05d-2317b694a63c,quel-giorno-pioveva,it,Spiritualità,spiritualita,patch_ok,
6bc6bf29-fa4d-43ed-b72c-8220168d26d8,qualche-informazione-prima-di-partire-per-il-pellegrinaggio-,it,Fede e Luce,fede-e-luce,patch_ok,
1b3ed840-da29-44ea-9a36-9c240d48836b,se-assisi-1978,it,Spiritualità,spiritualita,patch_ok,
3dca4e84-4431-450f-8f64-8b5e6d386372,tre-giorni-ad-assisi,it,Fede e Luce,fede-e-luce,patch_ok,
8966e48f-7442-4d7c-a81f-01a51fa2f1a6,preparazione-al-pellegrinaggio-fede-e-luce-ad-assisi-1978,it,Fede e Luce,fede-e-luce,patch_ok,
305e85e4-0399-4138-9dd6-f91b52ead613,letture-consigliate-n-18,it,Cultura,cultura,patch_ok,
6f740e13-6aab-404c-b1b7-68978a95bebe,la-casetta-cose-che-fini-ha-chi-la-frequenta,it,Fede e Luce,fede-e-luce,patch_ok,
c463b633-a75e-4f94-9c4e-6df652602845,festa-della-primavera-a-villa-pacis-1978,it,Fede e Luce,fede-e-luce,patch_ok,
cd8495c5-9da9-4c2f-b281-8fcdcecec1f2,vita-dei-gruppi-fede-e-luce-1978,it,Fede e Luce,fede-e-luce,patch_ok,
ac8a47f2-f971-4abe-b2d2-e33d742d2294,notiziario-fede-e-luce-n-18,it,Fede e Luce,fede-e-luce,patch_ok,
c7e1db74-db5b-4fba-a056-8c71494ffd15,come-un-raggio-di-sole,it,Spiritualità,spiritualita,patch_ok,
2209ba21-8a6f-410f-a87f-61bf4842f4c2,esperienze-al-gruppo-fede-e-luce-la-mamma-di-massimo,it,Fede e Luce,fede-e-luce,patch_ok,
8e183947-72ff-49f2-ba1c-f8376fc0006e,per-la-loro-educazione-visita-allistituto-statale-romagnolo-,it,Progetti,progetti,patch_ok,
79572ee9-9bda-4ea5-92c8-ea7e376938b5,per-la-nostra-riflessione,it,Famiglia,famiglia,patch_ok,
f1450089-0eb8-42f4-b712-c9abd391ef2d,un-po-di-provocazione,it,Famiglia,famiglia,patch_ok,
c1c6e447-6c9f-403a-9b12-445b8eb69544,ci-hanno-scritto-n-18,it,Fede e Luce,fede-e-luce,patch_ok,
b9b611a1-9ac7-4ad1-9e85-21dc15ce1f53,quando-arrivano-le-vacanze,it,Tempo libero,tempo-libero,patch_ok,
2279678a-be2e-4999-989c-5ad885e442bc,katimavik-una-parola-eschimese-che-vuol-dire-incontro,it,Fede e Luce,fede-e-luce,patch_ok,
72a19292-633f-47a8-b3cc-b05ff96652f1,sono-andata-a-bruxelles-a-fare-volontariato,it,Tempo libero,tempo-libero,patch_ok,
c54b3518-4145-498c-8d75-0ff9f26d5f41,soggiorno-allarche-1978,it,Tempo libero,tempo-libero,patch_ok,
a80995c2-c15e-4bbc-acdc-94c61c080441,una-lezione-damore-incontro-fede-e-luce-llalelli-galles-del-,it,Fede e Luce,fede-e-luce,patch_ok,
4a67fdc4-1954-4bce-aa7e-86889a2b4201,vacanze-1978,it,Tempo libero,tempo-libero,patch_ok,
e2a1012e-b8b1-4bf5-98f0-4dd923b143eb,alfedena-1978,it,Fede e Luce,fede-e-luce,patch_ok,
dacef662-78aa-429d-a5f5-04a4e996b355,per-la-loro-educazione-bilancio-di-unestate,it,Fede e Luce,fede-e-luce,patch_ok,
aba9313c-7522-4ad8-8b78-323472897a8f,quattordici-anni-con-loro,it,,,skip_null,
8ccd140e-19d7-43a2-9dd3-1913d4b91e17,ci-hanno-scritto-n-19,it,Fede e Luce,fede-e-luce,patch_ok,
df88ccc2-3196-4a7b-97f8-16b6fdca725b,notiziario-fede-e-luce-n-20,it,Fede e Luce,fede-e-luce,patch_ok,
f64fdec4-93d8-443b-90b1-5458aa36e9e9,la-forestiere-vita-comunitaria-con-i-piu-gravi-allarche,it,Fede e Luce,fede-e-luce,patch_ok,
35da8129-0f01-4f87-b78a-05185d24d790,che-cose-un-katimavic,it,Fede e Luce,fede-e-luce,patch_ok,
e8727cc5-7b66-40f0-995c-27d110283b17,letture-consigliate-lo-svantaggiato-quale-educazione,it,Cultura,cultura,patch_ok,
e20c4595-b765-4454-a8bc-68b7225ed0bb,7-testimonianze-di-genitori-e-amici-di-bambini-profondamente,it,Famiglia,famiglia,patch_ok,
30f7c8f2-c700-4eb8-9c2e-16f9633a6d84,bilancio-fede-e-luce-1979,it,Fede e Luce,fede-e-luce,patch_ok,
32ac8257-3d9e-4a41-90d4-cc72e137e385,ci-hanno-scritto-n-20,it,Fede e Luce,fede-e-luce,patch_ok,
7260eb99-2b9a-473c-82b1-9506bf87ebce,i-bambini-profondamente-handicappati,it,Famiglia,famiglia,patch_ok,
3eca8a1c-b8c0-428e-9ad5-d9ebb716c6e2,ci-hanno-scritto-n-21,it,Fede e Luce,fede-e-luce,patch_ok,
22800435-6a50-42da-9f74-2f903d16253e,per-la-nostra-riflessione-prendete-e-mangiatene-tutti,it,Spiritualità,spiritualita,patch_ok,
37dddad4-503e-42e9-adee-a8cd6262aea4,non-e-cosi-facile-essere-madre-di-una-bambina-non-grave,it,Famiglia,famiglia,patch_ok,
44bc33ca-ec2f-4e2a-b0a0-117f5b69e529,ci-hanno-scritto-una-critica-allultimo-numero-di-insieme,it,Fede e Luce,fede-e-luce,patch_ok,
3b66eee2-5ab5-431d-a461-40d0859e9c32,si-e-allontanato-per-la-prima-volta,it,Spiritualità,spiritualita,patch_ok,
3a49df82-5c30-4889-90bf-8cbc7a6a54c5,viviamo-una-vita-normale,it,Famiglia,famiglia,patch_ok,
9be923c3-79f3-4c89-adfd-bf2bca39acbb,il-ruolo-del-pediatra-nel-trattamento-del-bambino-handicappa,it,Salute,salute,patch_ok,
636d366c-c975-4cf8-8930-71d3e1be5d76,apriamo-il-sipario-oggi-si-recita,it,Progetti,progetti,patch_ok,
b110b366-5db4-4445-8d72-bc209ff4f3b0,come-mettere-in-quattro-righe-oltre-10-anni-di-vita,it,Fede e Luce,fede-e-luce,patch_ok,
ff5b72e2-e5e5-46dd-85bd-ca600ea6789e,in-vacanza-tutto-come-se-si-trattasse-di-un-gioco,it,Progetti,progetti,patch_ok,
e6b525ba-7611-4ba5-a96c-ab762ad2c04b,fu-in-tenda-che-mi-diede-il-benvenuto,it,Famiglia,famiglia,patch_ok,
f143775a-770d-4569-8e42-3677ac6bab5c,ora-ha-un-mondo-suo-oltre-la-sua-famiglia,it,Fede e Luce,fede-e-luce,patch_ok,
aa836d31-1771-4a20-993a-1ac657f2e74b,letture-consigliate-il-piccolo-principe,it,Cultura,cultura,patch_ok,
f8473600-3b2f-467e-8c38-24c9ca478865,notiziario-fede-e-luce-n-21,it,Fede e Luce,fede-e-luce,patch_ok,
3b867706-a0bc-498d-ad3a-303844cf0945,adesso-fa-la-quarta-sta-ancora-con-noi,it,Spiritualità,spiritualita,patch_ok,
b3af8677-bc4a-4151-94ce-275cfebf99a3,leducazione-dei-bambini-cosiddetti-lievi-si-ma-quale,it,Famiglia,famiglia,patch_ok,
9459c0be-fee6-4a5e-9b06-19549f6a1ead,lamore-non-basta,it,Famiglia,famiglia,patch_ok,
549a533a-1d3c-47d5-a680-3edcec08a501,mio-fratello-marco,it,Famiglia,famiglia,patch_ok,
fbc036ac-a340-4a5a-a523-260db410e2aa,pellegrinaggio-a-loreto-18-20-maggio-1979-testimonianze-part,it,Fede e Luce,fede-e-luce,patch_ok,
7bf8037a-3f7a-4b7e-82b0-541ed62a8563,gita-ad-argegno-3-giugno-1979,it,Fede e Luce,fede-e-luce,patch_ok,
871d3653-c202-4fcd-bf62-1ec5154d8223,vita-fede-e-luce-n-22-1979,it,Fede e Luce,fede-e-luce,patch_ok,
a3a15452-1a2d-4b8d-8506-ad9573fc30df,aria-di-vacanze,it,Fede e Luce,fede-e-luce,patch_ok,
0ba157eb-0808-49b1-bc10-2756ca90497a,pellegrinaggio-a-loreto-1979-olga-gammarelli,it,Fede e Luce,fede-e-luce,patch_ok,
3753b303-c35f-4c2f-8c45-d57f60af6609,letture-consigliate-n-22,it,Cultura,cultura,patch_ok,
82e12b0b-f877-4365-aee4-8a375b6f6bd7,incontro-internazionale-a-cuneo-28-29-aprile-1979,it,Fede e Luce,fede-e-luce,patch_ok,
e4b9ded6-ea5d-4db4-8438-04b8df66c0d1,un-compleanno-al-capezzale-di-un-amico,it,Spiritualità,spiritualita,patch_ok,
27936de4-5088-41f7-a67c-d3747ee6568e,mattone-su-mattone,it,Progetti,progetti,patch_ok,
57fb72d5-30c4-4327-aded-35db3c4b7214,focus-gli-adulti-profondamente-handicappati-alcune-testimoni,it,Famiglia,famiglia,patch_ok,
3f0e3011-d2dc-4e4b-9ada-684fb916ca5b,ci-hanno-scritto-n-22,it,Fede e Luce,fede-e-luce,patch_ok,
022ab78d-54b0-4dc6-8171-7c1e142c9a02,un-antidoto-alla-disperazione,it,Famiglia,famiglia,patch_ok,
d87e9f0c-905f-41e4-9d94-427524be69bf,23-maggio-1979-festa-della-primavera,it,Fede e Luce,fede-e-luce,patch_ok,
76e4f985-cad7-4ac1-ae01-9b02d2aefb2d,teresa-venti-anni-cambiamenti-disabilita,it,Famiglia,famiglia,patch_ok,
32877863-03bd-4e18-80c0-9cf9a7ecbb66,perche-vi-chiamate-fede-e-luce,it,Fede e Luce,fede-e-luce,patch_ok,
a46c8ad7-a019-4a77-9ede-46a374383105,tema-dellanno-1980-lincontro,it,Fede e Luce,fede-e-luce,patch_ok,
9da8cfcb-aeca-4f65-8dcc-8ed8679ccd62,ci-hanno-scritto-n-23,it,Fede e Luce,fede-e-luce,patch_ok,
