job_id,it_id,it_slug,en_id,en_slug,source_hash,status,error,input_tokens,output_tokens,cost_usd,timestamp
sample-v5,9831273d-35e8-4995-a657-81dd99d88f45,chi-ben-comincia,ae3368d0-805d-4fb8-896e-1ea48abbb6d0,a-good-start,a2e47c831021b386,ok,,2493,619,0.00447,2026-04-18T22:16:38.093941
sample-v5,986d8424-47e7-49fc-af84-f23e5016dbb9,storie-che-ci-vengono-affidate,46320e3b-0d65-4f97-b18f-bf344a2cb12d,stories-entrusted-to-us,1f841db65bbcd14a,ok,,4297,1899,0.011034,2026-04-18T22:16:45.922752
sample-v5,98718a6b-19ae-4966-9323-47459720838b,progetto-calamaio,8a635d3b-e4a7-44b5-bcbd-fe57032355cf,the-inkwell-project,309919fad3b2e85a,ok,,2899,905,0.005939,2026-04-18T22:17:10.865085
sample-v5,98c296b2-9017-403a-a556-7ab8a2624300,lucio-che-non-ha-mai-fretta-e-lutilita-degli-sgabelli,c1dfebf4-bf4b-41f4-b499-96f47d94751c,lucio-whos-never-in-a-hurry-and-why-stools-matter,4b0a118c6ba0b66e,ok,,2546,703,0.004849,2026-04-18T22:17:19.201001
