id_en,slug_en,numero_vecchio,numero_nuovo
615f1b80-14a9-4897-83d5-63b552957370,14-games-to-play-together,4679dd4e-f3d5-4bc2-9e6b-174afd227bdb,ecff4d73-c26e-484f-9f7c-b46a89735895
baa4a5e6-bee8-4bbb-b5d4-ceecacb97e92,pope-wojtyas-letter,NULL,c5320d1d-c8df-4ee2-8311-5a9454effc0b
d89ab8f5-2595-443d-9a45-fb0d23f67341,three-lives-with-sabina-a-fathers-journey-through-darkness-hope-and-love,NULL,c5320d1d-c8df-4ee2-8311-5a9454effc0b
ca261c06-06f7-43b5-97f7-5560c54e54a7,the-clear-sky-returns,NULL,c5320d1d-c8df-4ee2-8311-5a9454effc0b
ad75be0c-ed44-4046-9f5d-b3052d670c7c,no-longer-alone-a-mothers-journey-with-fede-e-luce,NULL,588920a7-542e-4c51-ac41-af8942275264
d1840c3b-a4be-4fe0-a60c-8270c6d709ca,why-together-special,NULL,8f642bf9-ca45-4039-9ad1-a26c9a8eab7d
d5f14f12-8f82-4ac1-89bb-9f76a148f9f8,in-the-storm-yet-not-alone,NULL,588920a7-542e-4c51-ac41-af8942275264
42c2a880-59dd-4641-a955-861fd84b0914,easter-light-at-fede-e-luce,NULL,c5320d1d-c8df-4ee2-8311-5a9454effc0b
585d4b23-41c7-4cb1-9183-a347bd71ea76,you-sustain-me,NULL,c5320d1d-c8df-4ee2-8311-5a9454effc0b
f3718047-2fbd-46ec-84c1-3888e0a8d8a1,in-welcoming-community,NULL,8f642bf9-ca45-4039-9ad1-a26c9a8eab7d
8acb1d23-272a-416f-ac5d-f16a1c61fb45,parents-of-children-with-disabilities-no-one-disturbs-anyone,NULL,c5320d1d-c8df-4ee2-8311-5a9454effc0b
ba59207c-bd15-4fc3-b29a-8eacb86ad34f,walking-with-the-saints,NULL,8f642bf9-ca45-4039-9ad1-a26c9a8eab7d
755a14ad-8c27-4c95-9fb0-3a6c3cc658e5,pilgrims-in-community,NULL,8f642bf9-ca45-4039-9ad1-a26c9a8eab7d
ddead178-3fcb-48be-9f3f-ca95cf9fa260,breaking-barriers-my-journey-as-an-autistic-actor,NULL,9a52facd-5e9b-4555-8e96-76eae19aba27
7c5151cd-dc39-44db-9bb0-086139655228,the-holy-spirit-gift-of-the-risen-jesus,NULL,8f642bf9-ca45-4039-9ad1-a26c9a8eab7d
41c1eb38-2b30-4dee-9d2c-9df7d83998a4,the-celebration-goes-on,NULL,c5320d1d-c8df-4ee2-8311-5a9454effc0b
58b5bdbf-4b3d-4cf9-963d-b5eed84c970a,the-risen-christ-makes-us-one-people,NULL,8f642bf9-ca45-4039-9ad1-a26c9a8eab7d
d79e8eae-adb0-489d-923e-8090742ec51b,faithful-friends,NULL,c5320d1d-c8df-4ee2-8311-5a9454effc0b
9d11262d-b927-4764-978e-9b0279c5fdb2,in-personal-prayer,NULL,8f642bf9-ca45-4039-9ad1-a26c9a8eab7d
2b5e2d9f-f567-4c91-8e8d-e7f1e170417d,i-was-afraid,NULL,c5320d1d-c8df-4ee2-8311-5a9454effc0b
b9ce4084-e3bb-4e18-902f-b45c31585e5e,where-the-handicapped-person-belongs-in-our-communities,NULL,c5320d1d-c8df-4ee2-8311-5a9454effc0b
8e538551-8e01-449b-a1fa-6ab871c3ec3e,how-faith-and-light-is-organized,NULL,c5320d1d-c8df-4ee2-8311-5a9454effc0b
3ccf1a79-27d2-42bb-bb17-89cc8da904bd,growing-up-with-my-brother,NULL,588920a7-542e-4c51-ac41-af8942275264
0d08d7c9-441b-47e3-8c09-9f64a48cc474,when-waiting-becomes-encounter,NULL,588920a7-542e-4c51-ac41-af8942275264
a0e7d16e-aa1a-4fe3-bec5-ec170156eaa5,beyond-labels-what-lies-beneath-adjectives,NULL,ea88c459-8d1a-446d-ae63-377090098c7b
c7c2d351-3ae0-4c63-b6cc-9517994df348,pilgrimage-to-faith-and-light,NULL,c5320d1d-c8df-4ee2-8311-5a9454effc0b
ba036587-ad31-4266-bf4d-e3ca4de0dd71,come-to-me-in-the-eucharist,NULL,8f642bf9-ca45-4039-9ad1-a26c9a8eab7d
00596edb-69bb-4af7-bc32-23048cbb1b89,22-mini-games-to-play-together,4679dd4e-f3d5-4bc2-9e6b-174afd227bdb,ecff4d73-c26e-484f-9f7c-b46a89735895
f84ecb17-d236-48f9-999c-d94439800c2d,everyone-has-a-place-in-the-community,NULL,c5320d1d-c8df-4ee2-8311-5a9454effc0b
96bcdcff-8fbd-403a-8679-d32e5fc17414,for-all-the-sabinas-of-the-world,4679dd4e-f3d5-4bc2-9e6b-174afd227bdb,ff3181ca-c771-4796-afde-2c423f738392
51ad5fad-c4d7-4841-9909-aa2c7d080605,celebration-at-fede-e-luce,NULL,c5320d1d-c8df-4ee2-8311-5a9454effc0b
6665fb25-baf6-4785-9c59-ce583351cdba,faith-and-light-questions-and-answers,NULL,c5320d1d-c8df-4ee2-8311-5a9454effc0b
abf90f18-910f-404a-b4d5-cfc28eb98ffa,the-joy-of-being-a-priest,NULL,c5320d1d-c8df-4ee2-8311-5a9454effc0b
5b32fec8-c79c-4f6d-ba31-a58d0a0cc6b7,life-in-faith-and-light-no-47,4679dd4e-f3d5-4bc2-9e6b-174afd227bdb,ff3181ca-c771-4796-afde-2c423f738392
1371172d-78c4-4b68-aebf-ac9f40bab3de,play-and-the-autistic-child,4679dd4e-f3d5-4bc2-9e6b-174afd227bdb,ecff4d73-c26e-484f-9f7c-b46a89735895
ccbca77c-9c4e-43c7-81ad-ff3c128c2029,what-is-faith-and-light-and-how-does-it-work,NULL,c5320d1d-c8df-4ee2-8311-5a9454effc0b
